year,average,1,2,3,4,5,6
1980,4.3,4.8,10.5,14.5,20.3,20.0,29.8
1985,4.0,6.9,12.3,16.5,25.3,19.5,19.5
1990,3.6,9.0,13.8,19.1,29.5,18.8,9.8
1995,3.3,12.7,16.9,20.3,31.7,12.9,5.5
2000,3.1,15.5,19.1,20.9,31.1,10.1,3.3
2005,2.9,20.0,22.2,20.9,27.0,7.7,2.3
2010,2.7,23.9,24.3,21.3,22.5,6.2,1.8
2015,2.5,27.2,26.1,21.5,18.8,4.9,1.5
2016,2.5,27.9,26.2,21.4,18.3,4.8,1.4
2017,2.5,28.6,26.7,21.2,17.7,4.5,1.3
2018,2.4,29.3,27.3,21.0,17.0,4.3,1.2
2019,2.4,30.2,27.8,20.7,16.2,3.9,1.0
2020,2.3,31.7,28.0,20.1,15.6,3.6,0.9
2021,2.3,33.4,28.3,19.4,14.7,3.3,0.8
2022,2.2,34.5,28.8,19.2,13.8,3.1,0.7