year,total,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejongsi,Gyeonggi-do,Gangwon-do,Chungcheongbuk-do,Chungcheongnam-do,Jeollabuk-do,Jeollanam-do,Gyeongsangbuk-do,Gyeongsangnam-do,Jeju-do
1970,32241,5686,2046,1295,804,651,548,283,0,2636,1914,1516,2379,2491,3450,3374,2795,374
1975,35281,7005,2625,1544,981,751,651,375,0,3125,1893,1546,2346,2498,3300,3393,2829,419
1980,38124,8516,3309,1889,1253,874,820,546,0,3774,1824,1450,2191,2329,2974,3157,2746,472
1985,40806,9725,3628,2129,1541,1053,952,676,0,4697,1740,1403,2075,2221,2729,2954,2790,493
1990,42869,10473,3803,2293,1897,1125,1036,794,0,5972,1562,1374,1992,2047,2480,2736,2776,509
1995,45093,10342,3852,2475,2334,1274,1287,980,0,7738,1482,1412,1784,1922,2089,2702,2909,512
2000,47008,10078,3733,2529,2522,1382,1397,1036,0,9146,1516,1494,1879,1927,2035,2773,3036,524
2005,48185,10029,3590,2509,2581,1445,1470,1071,0,10625,1489,1485,1918,1817,1851,2652,3110,542
2010,49554,10089,3477,2480,2723,1494,1515,1099,0,11619,1489,1524,2078,1796,1777,2630,3217,548
2011,49937,10072,3476,2483,2755,1502,1528,1112,0,11825,1498,1545,2108,1809,1779,2645,3245,554
2012,50200,10036,3462,2480,2794,1504,1540,1125,102,11974,1504,1553,2043,1817,1782,2656,3265,561
2013,50429,9990,3456,2476,2830,1504,1545,1137,118,12126,1506,1565,2062,1821,1784,2661,3278,570
2014,50747,9975,3452,2475,2862,1505,1553,1151,132,12282,1510,1578,2088,1829,1792,2671,3307,583
2015,51015,9941,3452,2469,2883,1506,1542,1164,187,12423,1517,1589,2103,1835,1797,2678,3330,599
2016,51218,9843,3447,2461,2907,1502,1536,1166,234,12600,1521,1601,2126,1835,1798,2683,3338,618
2017,51362,9766,3424,2458,2924,1495,1528,1159,266,12786,1521,1609,2153,1829,1795,2675,3339,635
2018,51585,9697,3403,2449,2936,1488,1513,1153,302,13027,1521,1618,2177,1823,1796,2675,3351,655
2019,51765,9657,3381,2437,2952,1489,1503,1146,329,13241,1520,1629,2189,1812,1793,2671,3350,664
2020,51836,9618,3356,2414,2951,1480,1492,1139,348,13452,1519,1631,2177,1806,1793,2652,3340,669
2021,51745,9502,3327,2388,2941,1469,1479,1124,366,13612,1520,1632,2177,1794,1783,2641,3318,673
2022,51628,9411,3299,2363,2961,1463,1472,1113,383,13681,1526,1634,2180,1780,1769,2628,3289,676
2023,51558,9338,3269,2341,2960,1456,1460,1103,392,13795,1525,1636,2186,1767,1757,2617,3277,680